,OPEN,HIGH,LOW,CLOSE,symbol
2022/3/15,1685.0363,1685.2902,1595.3236,1596.8849,CI005166.WI
2022/3/15,1460.6179,1465.9064,1396.2854,1397.2825,CI005812.WI
2022/3/15,15625.1963,15898.79,14967.7002,14967.7002,CI005143.WI
2022/3/15,1272.9785,1281.5981,1226.6073,1226.6073,CI005135.WI
2022/3/15,1171.5673,1172.8445,1101.9249,1103.2313,CI005813.WI
2022/3/15,6642.6348,6764.7217,6443.2642,6443.502,CI005165.WI
2022/3/15,1179.8628,1179.9436,1129.8978,1130.2327,CI005823.WI
2022/3/15,1030.8615,1030.8615,981.3012,981.3012,CI005818.WI
2022/3/15,70711.2266,72125.8828,68859.2109,68867.6641,CI005156.WI
2022/3/15,783.4396,793.7563,754.7498,755.633,CI005831.WI
2022/3/15,2201.7241,2204.8435,2122.1382,2124.4465,CI005139.WI
2022/3/15,590.4066,591.2208,559.2363,560.1849,CI005816.WI
2022/3/15,1652.1284,1695.526,1597.6943,1599.5396,CI005162.WI
2022/3/15,1969.8934,1970.0325,1925.6691,1927.4575,CI005163.WI
2022/3/15,1024.2697,1024.2697,982.1165,983.3513,CI005827.WI
2022/3/15,33307.4141,33523.9102,31992.4277,31995.4824,CI005145.WI
2022/3/15,9646.5332,9674.417,9303.9023,9304.5586,CI005153.WI
2022/3/15,3032.5505,3050.5168,2896.7585,2896.7585,CI005134.WI
2022/3/15,830.6563,831.0118,773.7283,775.6976,CI005829.WI
2022/3/15,16683.0645,16932.9473,16161.1191,16174.7432,CI005155.WI
2022/3/15,1013.866,1013.9191,964.6531,965.2073,CI005819.WI
2022/3/15,1549.6345,1562.8816,1457.1329,1458.0111,CI005824.WI
2022/3/15,4468.5786,4468.5786,4194.4419,4198.7783,CI005137.WI
2022/3/15,884.3589,889.2005,856.7647,857.123,CI005817.WI
2022/3/15,12187.1123,12211.3281,11622.1357,11622.1357,CI005160.WI
2022/3/15,4781.4194,4872.5723,4620.0894,4631.5737,CI005144.WI
2022/3/15,11653.7109,11756.4277,11271.6211,11271.6211,CI005152.WI
2022/3/15,406.6475,406.6475,381.3952,381.9929,CI005814.WI
2022/3/15,3578.0872,3581.2163,3389.3066,3393.2495,CI005140.WI
2022/3/15,9717.1494,9717.1494,9225.5313,9237.666,CI005164.WI
2022/3/16,1401.1761,1424.9786,1353.788,1422.1674,CI005806.WI
2022/3/16,1118.0538,1129.266,1073.3287,1125.6039,CI005813.WI
2022/3/16,788.9656,814.2373,764.5849,809.856,CI005829.WI
2022/3/16,1001.1805,1014.2343,960.2488,1010.4694,CI005818.WI
2022/3/16,1131.6553,1154.8855,1086.7242,1151.9988,CI005835.WI
2022/3/16,2652.0649,2724.425,2551.3457,2710.8909,CI005188.WI
2022/3/16,1139.9275,1158.6573,1083.1439,1154.2565,CI005837.WI
2022/3/16,15395.5361,16082.5361,15304.1719,16055.5293,CI005143.WI
2022/3/16,2572.1819,2601.8196,2483.2769,2592.3118,CI005129.WI
2022/3/16,1047.0099,1065.7548,1018.4406,1063.4186,CI005197.WI
2022/3/16,734.5787,749.8096,725.1262,747.4715,CI005839.WI
2022/3/16,9482.542,9524.8428,9020.4277,9476.377,CI005153.WI
2022/3/16,976.2759,997.8714,948.2339,997.0214,CI005843.WI
2022/3/16,1653.0397,1685.5828,1586.8467,1681.619,CI005199.WI
2022/3/16,6517.8076,6854.8511,6428.3643,6809.8228,CI005165.WI
2022/3/16,16387.4883,16672.1055,15707.084,16594.7578,CI005155.WI
2022/3/16,2533.5466,2611.9392,2480.8284,2608.1062,CI005109.WI
2022/3/16,1949.6019,1973.4401,1864.8838,1967.0475,CI005190.WI
2022/3/16,3325.1812,3384.8994,3202.9092,3381.6228,CI005171.WI
2022/3/16,1093.6925,1106.5564,1055.9535,1104.3927,CI005804.WI
2022/3/16,806.4305,814.7479,767.663,810.1379,CI005820.WI
