,close,open,high,low,volume,code
2010-03-15,4454.76,4485.875,4498.103,4426.189,2992878000.0,000905.SH
2010-03-16,4491.465,4453.812,4492.04,4426.607,2766447600.0,000905.SH
2010-03-17,4616.053,4500.427,4616.109,4500.255,4436945300.0,000905.SH
2010-03-18,4630.953,4627.998,4653.681,4605.912,4979134700.0,000905.SH
2010-03-19,4663.903,4632.05,4665.909,4609.013,4641554600.0,000905.SH
2010-03-22,4690.198,4669.413,4695.082,4649.531,4720032000.0,000905.SH
2010-03-23,4658.626,4690.273,4697.727,4642.975,4704866700.0,000905.SH
2010-03-24,4683.065,4662.987,4692.318,4662.536,4744276700.0,000905.SH
2010-03-25,4620.749,4675.222,4675.222,4609.165,4895411600.0,000905.SH
2010-03-26,4686.931,4609.752,4693.762,4601.691,4521928200.0,000905.SH
2010-03-29,4723.611,4701.789,4723.745,4682.409,5028323800.0,000905.SH
2010-03-30,4744.423,4720.577,4748.908,4708.428,4734372300.0,000905.SH
2010-03-31,4756.157,4744.344,4757.316,4726.518,4910827600.0,000905.SH
2010-04-01,4827.214,4756.298,4828.103,4755.933,6187885700.0,000905.SH
2010-04-02,4843.175,4833.81,4851.938,4820.065,5943194600.0,000905.SH
2010-04-06,4852.904,4853.328,4862.168,4814.252,5739705000.0,000905.SH
2010-04-07,4863.639,4851.831,4865.753,4829.017,5328918600.0,000905.SH
2010-04-08,4864.922,4856.411,4881.907,4845.605,5717551000.0,000905.SH
2010-04-09,4939.176,4866.519,4939.408,4866.243,5841922500.0,000905.SH
2010-04-12,4976.38,4948.103,4976.832,4932.626,7228171800.0,000905.SH
2010-04-13,4919.873,4977.757,4993.367,4793.284,7346944300.0,000905.SH
2010-04-14,4977.508,4910.701,4978.269,4896.573,5620229100.0,000905.SH
2010-04-15,4914.747,4975.078,4984.356,4879.912,5425112300.0,000905.SH
2010-04-16,4898.67,4900.6,4936.876,4852.407,4304573700.0,000905.SH
2010-04-19,4688.836,4850.863,4880.535,4688.12,5827744700.0,000905.SH
2010-04-20,4749.934,4680.197,4750.489,4607.2,5271907300.0,000905.SH
2010-04-21,4893.978,4753.118,4896.661,4747.387,6395338500.0,000905.SH
2010-04-22,4902.405,4881.255,4950.494,4849.557,6599520800.0,000905.SH
2010-04-23,4864.164,4892.037,4936.731,4840.168,5576390000.0,000905.SH
2010-04-26,4866.553,4868.725,4904.97,4847.913,4851045000.0,000905.SH
2010-04-27,4739.269,4852.193,4852.193,4645.159,5371586700.0,000905.SH
2010-04-28,4714.432,4682.326,4767.801,4652.872,4431985800.0,000905.SH
2010-04-29,4561.4,4730.49,4758.76,4560.131,4829340000.0,000905.SH
2010-04-30,4438.681,4540.652,4547.479,4350.147,4381965400.0,000905.SH
2010-05-04,4434.131,4353.452,4484.46,4324.504,3183759200.0,000905.SH
2010-05-05,4564.807,4388.503,4565.239,4377.384,4329849800.0,000905.SH
2010-05-06,4419.781,4557.446,4583.184,4418.739,4498350100.0,000905.SH
2010-05-07,4350.758,4313.653,4443.534,4285.466,4221155000.0,000905.SH
2010-05-10,4269.108,4346.702,4391.034,4175.665,4019215900.0,000905.SH
2010-05-11,4144.352,4350.771,4366.687,4134.601,4002581100.0,000905.SH
2010-05-12,4042.516,4100.604,4154.475,3979.128,3657183500.0,000905.SH
2010-05-13,4157.842,4042.315,4158.347,3974.102,3651686200.0,000905.SH
2010-05-14,4184.841,4129.892,4217.607,4107.176,3694244000.0,000905.SH
2010-05-17,3915.752,4125.661,4132.379,3915.752,3760313200.0,000905.SH
2010-05-18,3972.154,3894.094,3983.876,3818.29,3771298400.0,000905.SH
2010-05-19,3977.377,3946.148,4037.847,3908.64,3496051800.0,000905.SH
2010-05-20,3901.257,3941.61,4025.803,3890.352,3343432300.0,000905.SH
2010-05-21,3982.385,3787.15,3982.412,3768.097,4023081300.0,000905.SH
2010-05-24,4163.477,4016.351,4170.729,4016.351,5441927700.0,000905.SH
2010-05-25,4133.346,4134.931,4177.786,4087.096,4745101800.0,000905.SH
2010-05-26,4144.662,4117.49,4165.29,4097.242,3422970900.0,000905.SH
2010-05-27,4218.637,4133.325,4228.444,4083.622,4365236000.0,000905.SH
2010-05-28,4235.322,4254.849,4270.167,4203.488,4531411200.0,000905.SH
2010-05-31,4104.364,4214.623,4259.164,4104.364,4140822100.0,000905.SH
2010-06-01,4025.789,4059.415,4091.441,3933.393,3874619100.0,000905.SH
2010-06-02,4083.616,4004.128,4084.048,3960.335,3270879900.0,000905.SH
2010-06-03,4053.985,4099.855,4146.656,4053.546,3754352700.0,000905.SH
2010-06-04,4089.035,4025.277,4095.486,4013.969,3141512500.0,000905.SH
2010-06-07,4072.568,4000.65,4082.379,3985.146,3497036200.0,000905.SH
2010-06-08,4109.317,4064.784,4122.39,4047.819,3423959600.0,000905.SH
2010-06-09,4211.881,4124.807,4212.175,4110.434,4755827200.0,000905.SH
2010-06-10,4223.566,4191.293,4261.161,4176.428,4188617100.0,000905.SH
2010-06-11,4197.995,4239.059,4252.102,4193.082,3441800600.0,000905.SH
2010-06-17,4145.243,4221.599,4237.101,4144.069,2899836200.0,000905.SH
2010-06-18,3972.286,4131.677,4131.677,3945.727,3504262300.0,000905.SH
2010-06-21,4087.017,3960.25,4087.447,3924.415,3508624200.0,000905.SH
2010-06-22,4119.722,4081.642,4136.592,4069.225,3461653800.0,000905.SH
