etf_code,etf_name,track_code,track_name,sw_code_keyword,sw_name,match_status,match_evidence,dominant_weight,sw_code,sw_code_holdings,source,agreement
520870.SH,巴西ETF易方达,IBOVESPA.GI,巴西IBOVESPA指数,,,non-industry:overseas,巴西,,,,keyword,False
159607.SZ,中概互联网ETF嘉实,930604.CSI,中国互联网30,,,non-industry:overseas,中概,,,,keyword,False
515170.SH,食品饮料ETF华夏,000815.CSI,细分食品,801120.SI,食品饮料,matched,801120.SI:食品饮料,0.9575209731269498,801120.SI,801120.SI,holdings,True
561100.SH,消费电子ETF富国,931494.CSI,消费电子,801080.SI,电子,matched,801080.SI:消费电子,0.9176600349593053,801080.SI,801080.SI,holdings,True
159561.SZ,德国ETF嘉实,GDAXI.GI,德国DAX,,,non-industry:overseas,德国,,,,keyword,False
159875.SZ,新能源ETF嘉实,399808.SZ,中证新能,801730.SI,电力设备,matched,801730.SI:新能源,0.7470093508884581,801730.SI,801730.SI,holdings,True
159993.SZ,证券ETF鹏华,399437.SZ,证券龙头,801790.SI,非银金融,matched,801790.SI:证券,1.0,801790.SI,801790.SI,holdings,True
159608.SZ,稀有金属ETF广发,930632.CSI,CS稀金属,801050.SI,有色金属,matched,801050.SI:稀有金属,0.7833452809596139,801050.SI,801050.SI,holdings,True
520570.SH,恒生科技ETF南方,HSTECH.HI,恒生科技,,,non-industry:overseas,恒生,,,,keyword,False
516310.SH,银行ETF易方达,399986.SZ,中证银行,801780.SI,银行,matched,801780.SI:银行,0.9997904675501288,801780.SI,801780.SI,holdings,True
159997.SZ,电子ETF天弘,930652.CSI,CS电子,801080.SI,电子,matched,801080.SI:电子,0.8733784114175185,801080.SI,801080.SI,holdings,True
513820.SH,港股通红利ETF汇添富,930914.CSI,港股通高股息(HKD),,,non-industry:broad,红利,,,,keyword,False
560610.SH,A500ETF招商,000510.SH,中证A500,,,non-industry:broad,中证A50,,,,keyword,False
515020.SH,银行ETF华夏,399986.SZ,中证银行,801780.SI,银行,matched,801780.SI:银行,0.9997307540040158,801780.SI,801780.SI,holdings,True
563760.SH,全指现金流ETF中银,932365.CSI,中证现金流,,,non-industry:broad,中证现金流,,,,keyword,False
588380.SH,科创创业ETF富国,931643.CSI,科创创业50,,,non-industry:broad,科创创业50,,,,keyword,False
159925.SZ,沪深300ETF南方,000300.SH,沪深300,,,non-industry:broad,沪深300,,,,keyword,False
513070.SH,港股通消费ETF易方达,931454.CSI,港股通消费,,,non-industry:overseas,港股,,,,keyword,False
159305.SZ,储能电池ETF广发,980027.CNI,新能源电池,801730.SI,电力设备,matched,801730.SI:新能源,0.7755517368819095,801730.SI,801730.SI,holdings,True
589070.SH,科创芯片设计ETF天弘,950162.CSI,科创芯片设计,801080.SI,电子,matched,801080.SI:芯片,,801080.SI,,keyword,False
159569.SZ,港股红利低波ETF景顺,987016.CNI,港股通红利低波,,,non-industry:broad,红利,,,,keyword,False
513550.SH,港股通50ETF华泰柏瑞,930931.CSI,港股通50(HKD),,,non-industry:overseas,港股,,,,keyword,False
159859.SZ,生物医药ETF天弘,399441.SZ,生物医药,801150.SI,医药生物,matched,801150.SI:生物医药,0.9475193530332917,801150.SI,801150.SI,holdings,True
562060.SH,标普A股红利ETF华宝,CSPSADRP.CI,标普A股红利,,,non-industry:broad,红利,,,,keyword,False
515970.SH,工程机械ETF华夏,931752.CSI,工程机械主题,801890.SI,机械设备,matched,801890.SI:工程机械,,801890.SI,,keyword,False
159612.SZ,标普500ETF国泰,SPX.GI,标普500,,,non-industry:overseas,标普,,,,keyword,False
589850.SH,科创50ETF东财,000688.SH,科创50,,,non-industry:broad,科创50,,,,keyword,False
515300.SH,300红利低波ETF嘉实,930740.CSI,300红利低波,,,non-industry:broad,红利,,,,keyword,False
159202.SZ,恒生互联网ETF万家,HSIII.HI,恒生互联网科技业,,,non-industry:overseas,恒生,,,,keyword,False
516810.SH,农业ETF华夏,000949.CSI,中证农业,801010.SI,农林牧渔,matched,801010.SI:农业,0.6918630571800335,801010.SI,801010.SI,holdings,True
515060.SH,房地产ETF华夏,931775.CSI,中证全指房地产,,,non-industry:broad,中证全指,,,,keyword,False
515400.SH,大数据ETF富国,930902.CSI,中证数据,801750.SI,计算机,matched,801750.SI:大数据,0.9148284428723348,801750.SI,801750.SI,holdings,True
159680.SZ,中证1000增强ETF招商,000852.SH,中证1000,,,non-industry:broad,中证100,,,,keyword,False
588330.SH,双创50ETF华宝,931643.CSI,科创创业50,,,non-industry:broad,科创创业50,,,,keyword,False
159307.SZ,红利低波100ETF博时,930955.CSI,红利低波100,,,non-industry:broad,红利,,,,keyword,False
159279.SZ,创业板人工智能ETF华安,970070.CNI,创业板人工智能,801750.SI,通信,matched,801750.SI:人工智能,0.5239933979622733,801770.SI,801770.SI,holdings,False
159688.SZ,恒生互联网ETF华安,HSIII.HI,恒生互联网科技业,,,non-industry:overseas,恒生,,,,keyword,False
512290.SH,生物医药ETF国泰,930726.CSI,CS生医,801150.SI,医药生物,matched,801150.SI:生物医药,0.9988120738366598,801150.SI,801150.SI,holdings,True
513660.SH,恒生ETF华夏,HSI.HI,恒生指数,,,non-industry:overseas,恒生,,,,keyword,False
159546.SZ,集成电路ETF国泰,932087.CSI,集成电路,801080.SI,电子,matched,801080.SI:集成电路,0.9565231753375728,801080.SI,801080.SI,holdings,True
159814.SZ,创业大盘ETF西部利得,399293.SZ,创业大盘,,,non-industry:broad,创业大盘,,,,keyword,False
159300.SZ,沪深300ETF富国,000300.SH,沪深300,,,non-industry:broad,沪深300,,,,keyword,False
513150.SH,港股通科技ETF华泰柏瑞,931573.CSI,港股通科技,,,non-industry:overseas,港股,,,,keyword,False
512720.SH,计算机ETF国泰,930651.CSI,CS计算机,801750.SI,计算机,matched,801750.SI:计算机,0.8326044170058285,801750.SI,801750.SI,holdings,True
563880.SH,A500ETF汇添富,000510.SH,中证A500,,,non-industry:broad,中证A50,,,,keyword,False
159663.SZ,机床ETF华夏,931866.CSI,中证机床,801890.SI,机械设备,matched,801890.SI:机床,0.7641521931621598,801890.SI,801890.SI,holdings,True
159883.SZ,医疗器械ETF永赢,h30217.CSI,医疗器械,801150.SI,医药生物,matched,801150.SI:医疗器械,0.9400793325058875,801150.SI,801150.SI,holdings,True
512700.SH,银行ETF南方,399986.SZ,中证银行,801780.SI,银行,matched,801780.SI:银行,0.999874234090461,801780.SI,801780.SI,holdings,True
562960.SH,绿色电力ETF易方达,931897.CSI,绿色电力,801160.SI,公用事业,matched,801160.SI:电力,0.9929971340774081,801160.SI,801160.SI,holdings,True
159320.SZ,电网设备ETF广发,HSCAUPG.HI,恒生A股电网设备,,,non-industry:overseas,恒生,,,,keyword,False
510980.SH,上证指数ETF汇添富,000001.SH,上证指数,,,non-industry:broad,上证指数,,,,keyword,False
520900.SH,港股通红利ETF广发,931722.CSI,国新港股通央企红利,,,non-industry:broad,红利,,,,keyword,False
520650.SH,港股通互联网ETF南方,931637.CSI,港股通互联网,,,non-industry:overseas,港股,,,,keyword,False
513600.SH,恒生指数ETF南方,HSI.HI,恒生指数,,,non-industry:overseas,恒生,,,,keyword,False
516630.SH,云计算ETF华夏,930851.CSI,云计算,801750.SI,计算机,matched,801750.SI:云计算,0.7597730232424729,801750.SI,801750.SI,holdings,True
