,time,code,close,open,high,low,volume
2026,2016-02-19,000300.XSHG,3051.59,3047.94,3065.97,3032.63,8733801200.0
2027,2016-02-22,000300.XSHG,3118.87,3083.93,3128.21,3071.33,14094696800.0
2028,2016-02-23,000300.XSHG,3089.36,3117.2,3119.22,3061.43,11256739100.0
2029,2016-02-24,000300.XSHG,3109.55,3077.61,3109.55,3055.25,11178265000.0
2030,2016-02-25,000300.XSHG,2918.75,3104.41,3104.44,2905.46,15782975200.0
2031,2016-02-26,000300.XSHG,2948.03,2942.1,2964.39,2902.95,10694972900.0
2032,2016-02-29,000300.XSHG,2877.47,2939.58,2939.87,2821.21,12934102000.0
2033,2016-03-01,000300.XSHG,2930.69,2881.34,2950.44,2863.32,11604591800.0
2034,2016-03-02,000300.XSHG,3051.33,2933.92,3054.72,2933.12,17597234700.0
2035,2016-03-03,000300.XSHG,3058.42,3050.39,3078.44,3040.25,17310574400.0
2036,2016-03-04,000300.XSHG,3093.89,3047.54,3101.66,3032.42,21917253400.0
2037,2016-03-07,000300.XSHG,3104.84,3109.0,3130.9,3083.58,13246203700.0
2038,2016-03-08,000300.XSHG,3107.67,3100.15,3109.25,3001.83,13623574200.0
2039,2016-03-09,000300.XSHG,3071.91,3045.92,3072.92,3020.13,11146624500.0
2040,2016-03-10,000300.XSHG,3013.15,3056.21,3074.16,3012.69,7607219700.0
2041,2016-03-11,000300.XSHG,3018.28,2990.21,3026.44,2982.17,7333356400.0
2042,2016-03-14,000300.XSHG,3065.69,3039.57,3106.8,3034.0,11710865500.0
2043,2016-03-15,000300.XSHG,3074.78,3061.34,3077.08,3028.58,9831194100.0
2044,2016-03-16,000300.XSHG,3090.03,3068.87,3100.35,3064.52,12473644800.0
2045,2016-03-17,000300.XSHG,3124.2,3096.81,3147.84,3077.57,12166177700.0
2046,2016-03-18,000300.XSHG,3171.96,3136.22,3197.67,3130.1,19730256400.0
2047,2016-03-21,000300.XSHG,3249.44,3203.29,3267.78,3198.36,23326946400.0
2048,2016-03-22,000300.XSHG,3225.79,3231.61,3249.68,3218.73,16102089700.0
2049,2016-03-23,000300.XSHG,3236.09,3217.73,3242.25,3202.98,12567928600.0
2050,2016-03-24,000300.XSHG,3181.85,3211.5,3221.91,3181.81,13313112200.0
2051,2016-03-25,000300.XSHG,3197.82,3176.81,3204.44,3174.32,9739533000.0
2052,2016-03-28,000300.XSHG,3169.73,3206.95,3229.62,3161.88,10344193300.0
2053,2016-03-29,000300.XSHG,3135.41,3171.31,3178.07,3122.76,9729474700.0
2054,2016-03-30,000300.XSHG,3216.28,3161.29,3216.68,3161.29,11780251200.0
2055,2016-03-31,000300.XSHG,3218.09,3229.2,3241.93,3208.66,12155207400.0
2056,2016-04-01,000300.XSHG,3221.89,3213.67,3222.61,3165.86,11812213900.0
2057,2016-04-05,000300.XSHG,3264.49,3211.3,3271.93,3205.21,14604777200.0
2058,2016-04-06,000300.XSHG,3257.53,3250.52,3267.64,3236.2,12019630500.0
2059,2016-04-07,000300.XSHG,3209.29,3266.29,3270.82,3208.64,11240946700.0
2060,2016-04-08,000300.XSHG,3185.73,3189.85,3197.77,3163.3,10100562500.0
2061,2016-04-11,000300.XSHG,3230.1,3213.51,3251.57,3213.51,12521270900.0
2062,2016-04-12,000300.XSHG,3218.45,3227.37,3232.26,3198.9,9286943700.0
2063,2016-04-13,000300.XSHG,3261.38,3237.86,3296.52,3237.86,19561386600.0
2064,2016-04-14,000300.XSHG,3275.83,3277.1,3286.07,3252.05,11315732700.0
2065,2016-04-15,000300.XSHG,3272.21,3279.86,3282.98,3261.73,9980752900.0
2066,2016-04-18,000300.XSHG,3228.45,3252.67,3252.67,3221.66,9709006900.0
2067,2016-04-19,000300.XSHG,3238.3,3243.97,3250.73,3221.58,8087144000.0
2068,2016-04-20,000300.XSHG,3181.03,3244.14,3248.42,3107.37,16220785800.0
2069,2016-04-21,000300.XSHG,3160.6,3160.8,3198.56,3150.94,10475265100.0
2070,2016-04-22,000300.XSHG,3174.9,3142.56,3175.38,3137.99,7707849200.0
2071,2016-04-25,000300.XSHG,3162.03,3164.74,3172.27,3137.11,6751935100.0
2072,2016-04-26,000300.XSHG,3179.16,3159.77,3181.1,3150.4,5902073400.0
2073,2016-04-27,000300.XSHG,3165.92,3181.93,3188.83,3162.69,6000414700.0
2074,2016-04-28,000300.XSHG,3160.58,3169.33,3174.77,3135.64,6987066000.0
2075,2016-04-29,000300.XSHG,3156.75,3153.54,3171.29,3149.4,5802977600.0
2076,2016-05-03,000300.XSHG,3213.54,3159.82,3218.49,3151.4,9816483500.0
2077,2016-05-04,000300.XSHG,3209.46,3203.47,3222.88,3198.29,9086240800.0
2078,2016-05-05,000300.XSHG,3213.92,3204.17,3217.28,3196.57,7473368100.0
2079,2016-05-06,000300.XSHG,3130.35,3213.14,3216.89,3130.15,10868024000.0
2080,2016-05-09,000300.XSHG,3065.62,3115.43,3115.43,3055.01,9923047700.0
2081,2016-05-10,000300.XSHG,3069.11,3055.21,3084.72,3055.18,6884993500.0
2082,2016-05-11,000300.XSHG,3082.81,3080.64,3102.88,3063.09,8179425800.0
2083,2016-05-12,000300.XSHG,3090.14,3059.38,3095.35,3035.02,7876572600.0
2084,2016-05-13,000300.XSHG,3074.94,3081.68,3103.1,3064.69,6262975500.0
2085,2016-05-16,000300.XSHG,3095.31,3064.53,3095.56,3053.66,5946185600.0
2086,2016-05-17,000300.XSHG,3086.02,3095.52,3105.2,3073.46,6527812500.0
2087,2016-05-18,000300.XSHG,3068.04,3071.53,3072.61,3039.46,8271536900.0
2088,2016-05-19,000300.XSHG,3062.5,3060.34,3086.98,3058.14,6044416600.0
2089,2016-05-20,000300.XSHG,3078.22,3047.78,3078.53,3041.52,5608084200.0
2090,2016-05-23,000300.XSHG,3087.22,3078.51,3098.48,3076.5,5969721600.0
2091,2016-05-24,000300.XSHG,3063.56,3083.24,3083.26,3052.59,5873438500.0
2092,2016-05-25,000300.XSHG,3059.23,3079.75,3089.1,3054.87,5665280300.0
2093,2016-05-26,000300.XSHG,3064.21,3056.6,3072.52,3027.44,6039298100.0
2094,2016-05-27,000300.XSHG,3062.5,3059.73,3073.76,3052.18,6046875000.0
2095,2016-05-30,000300.XSHG,3066.71,3056.31,3075.26,3037.66,6309857900.0
2096,2016-05-31,000300.XSHG,3169.56,3068.6,3170.93,3068.6,13886311100.0
2097,2016-06-01,000300.XSHG,3160.55,3172.96,3181.79,3159.82,11314848200.0
2098,2016-06-02,000300.XSHG,3167.1,3158.03,3168.82,3151.07,8600342700.0
