,close
2017-04-28,2347.04
2017-05-02,2336.79
2017-05-03,2329.77
2017-05-04,2325.43
2017-05-05,2320.6
2017-05-08,2326.1
2017-05-09,2316.29
2017-05-10,2324.92
2017-05-11,2339.29
2017-05-12,2375.45
2017-05-15,2381.75
2017-05-16,2381.32
2017-05-17,2363.56
2017-05-18,2354.75
2017-05-19,2361.66
2017-05-22,2381.55
2017-05-23,2411.8
2017-05-24,2407.57
2017-05-25,2473.5
2017-05-26,2471.21
2017-05-31,2479.08
2017-06-01,2496.45
2017-06-02,2475.46
2017-06-05,2450.35
2017-06-06,2466.01
2017-06-07,2484.03
2017-06-08,2507.03
2017-06-09,2519.27
2017-06-12,2521.17
2017-06-13,2515.14
2017-06-14,2477.32
2017-06-15,2461.97
2017-06-16,2452.79
2017-06-19,2484.12
2017-06-20,2474.43
2017-06-21,2497.25
2017-06-22,2516.67
2017-06-23,2529.1
2017-06-26,2543.32
2017-06-27,2554.7
2017-06-28,2537.64
2017-06-29,2552.98
2017-06-30,2549.97
2017-07-03,2534.37
2017-07-04,2511.15
2017-07-05,2548.1
2017-07-06,2553.88
2017-07-07,2543.66
2017-07-10,2550.11
2017-07-11,2570.59
2017-07-12,2565.14
2017-07-13,2600.95
2017-07-14,2622.98
2017-07-17,2631.41
2017-07-18,2624.31
2017-07-19,2657.89
2017-07-20,2665.45
2017-07-21,2639.21
2017-07-24,2654.38
2017-07-25,2643.07
2017-07-26,2636.2
2017-07-27,2636.63
2017-07-28,2636.39
2017-07-31,2638.12
2017-08-01,2681.81
2017-08-02,2680.63
2017-08-03,2646.22
2017-08-04,2627.8
2017-08-07,2634.18
2017-08-08,2635.18
2017-08-09,2620.38
2017-08-10,2611.34
2017-08-11,2570.26
2017-08-14,2591.45
2017-08-15,2605.24
2017-08-16,2595.0
2017-08-17,2604.08
2017-08-18,2613.26
2017-08-21,2616.82
2017-08-22,2643.5
2017-08-23,2659.78
2017-08-24,2646.4
2017-08-25,2706.24
2017-08-28,2736.46
2017-08-29,2739.13
2017-08-30,2728.23
2017-08-31,2714.63
2017-09-01,2710.12
2017-09-04,2711.35
2017-09-05,2729.85
2017-09-06,2714.33
2017-09-07,2691.83
2017-09-08,2686.69
2017-09-11,2674.75
2017-09-12,2692.54
2017-09-13,2687.67
2017-09-14,2672.84
2017-09-15,2668.38
2017-09-18,2674.18
2017-09-19,2670.69
2017-09-20,2662.63
2017-09-21,2675.55
2017-09-22,2679.05
2017-09-25,2680.65
2017-09-26,2678.99
2017-09-27,2661.55
2017-09-28,2661.28
2017-09-29,2672.33
2017-10-09,2692.08
2017-10-10,2695.54
2017-10-11,2707.52
2017-10-12,2718.35
2017-10-13,2713.38
2017-10-16,2726.64
2017-10-17,2723.53
2017-10-18,2753.01
2017-10-19,2756.04
2017-10-20,2737.64
2017-10-23,2734.37
2017-10-24,2753.65
2017-10-25,2752.14
2017-10-26,2771.04
2017-10-27,2814.27
2017-10-30,2809.11
2017-10-31,2793.71
2017-11-01,2789.4
2017-11-02,2794.1
2017-11-03,2800.47
2017-11-06,2792.22
2017-11-07,2821.96
2017-11-08,2819.96
2017-11-09,2832.96
2017-11-10,2862.34
2017-11-13,2873.51
2017-11-14,2861.42
2017-11-15,2850.05
2017-11-16,2879.4
2017-11-17,2938.8
2017-11-20,2941.15
2017-11-21,2987.17
2017-11-22,3012.36
2017-11-23,2940.73
2017-11-24,2936.83
2017-11-27,2917.31
2017-11-28,2897.11
2017-11-29,2893.28
2017-11-30,2863.45
2017-12-01,2842.18
2017-12-04,2861.36
2017-12-05,2910.48
2017-12-06,2875.73
2017-12-07,2848.89
2017-12-08,2865.34
2017-12-11,2899.1
2017-12-12,2850.2
2017-12-13,2872.94
2017-12-14,2850.05
2017-12-15,2820.17
2017-12-18,2829.06
2017-12-19,2873.03
2017-12-20,2879.64
2017-12-21,2895.37
2017-12-22,2880.77
2017-12-25,2880.1
2017-12-26,2894.34
2017-12-27,2839.63
2017-12-28,2859.05
2017-12-29,2860.44
2018-01-02,2908.73
2018-01-03,2913.26
2018-01-04,2919.48
2018-01-05,2932.36
2018-01-08,2947.76
2018-01-09,2969.32
2018-01-10,2995.56
2018-01-11,2997.04
2018-01-12,3018.6
2018-01-15,3048.81
2018-01-16,3063.86
2018-01-17,3076.18
2018-01-18,3106.55
2018-01-19,3117.82
