,code,day,direction,rank,abnormal_code,abnormal_name,sales_depart_name,buy_value,sell_value,total_value,net_value,amount
98746,000043.SZ,2013/1/4,BUY,3,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,中国国际金融有限公司上海淮海中路证券营业部,16377628,16970815,33348443,-593187,1371305835
98753,000043.SZ,2013/1/4,SELL,2,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,中国国际金融有限公司上海淮海中路证券营业部,16377628,16970815,33348443,-593187,1371305835
98717,000417.SZ,2013/1/4,SELL,2,106001,涨幅偏离值达7%的证券,中国国际金融有限公司上海淮海中路证券营业部,68505,7545993,7614498,-7477488,236236140
98747,000043.SZ,2013/1/4,SELL,3,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,中国国际金融有限公司深圳福华一路证券营业部,0,14052271,14052271,-14052271,1371305835
98594,002460.SZ,2013/1/4,SELL,1,106001,涨幅偏离值达7%的证券,中国民族证券有限责任公司广州福今路证券营业部,0,6120433,6120433,-6120433,83172986
98658,000898.SZ,2013/1/4,SELL,5,106001,涨幅偏离值达7%的证券,中国银河证券股份有限公司北京金融街证券营业部,45268,6864536,6909804,-6819268,389722923
98525,002700.SZ,2013/1/4,BUY,4,106004,换手率达20%的证券,中国银河证券股份有限公司福州证券营业部,2367560,346137,2713697,2021423,215270955
98560,002606.SZ,2013/1/4,BUY,5,106004,换手率达20%的证券,中国银河证券股份有限公司合肥屯溪路证券营业部,2274320,0,2274320,2274320,293346453
98479,300251.SZ,2013/1/4,BUY,3,106004,换手率达20%的证券,中国银河证券股份有限公司马鞍山证券营业部,8570169,39080,8609249,8531089,732502149
98567,002492.SZ,2013/1/4,BUY,3,106001,涨幅偏离值达7%的证券,中国银河证券股份有限公司宁波翠柏路证券营业部,6108314,0,6108314,6108314,145970121
98452,300295.SZ,2013/1/4,BUY,2,106001,涨幅偏离值达7%的证券,中国银河证券股份有限公司宁波大庆南路证券营业部,15065470,0,15065470,15065470,168894660
98469,300262.SZ,2013/1/4,SELL,4,106004,换手率达20%的证券,中国银河证券股份有限公司厦门美湖路证券营业部,26770,7913690,7940460,-7886920,287597870
98629,002151.SZ,2013/1/4,SELL,2,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,中国银河证券股份有限公司厦门美湖路证券营业部,14724411,16881751,31606162,-2157340,1076972325
98626,002151.SZ,2013/1/4,BUY,5,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,中国银河证券股份有限公司厦门美湖路证券营业部,14724411,16881751,31606162,-2157340,1076972325
98483,300251.SZ,2013/1/4,BUY,5,106004,换手率达20%的证券,中国银河证券股份有限公司上海肇嘉浜路证券营业部,7048672,558267,7606939,6490405,732502149
98490,300111.SZ,2013/1/4,BUY,3,106001,涨幅偏离值达7%的证券,中国银河证券股份有限公司绍兴证券营业部,6776976,3520546,10297522,3256430,187027482
98493,300111.SZ,2013/1/4,SELL,5,106001,涨幅偏离值达7%的证券,中国银河证券股份有限公司绍兴证券营业部,6776976,3520546,10297522,3256430,187027482
98542,002694.SZ,2013/1/4,BUY,1,106004,换手率达20%的证券,中国银河证券股份有限公司绍兴证券营业部,4430065,0,4430065,4430065,184695721
98744,000043.SZ,2013/1/4,BUY,4,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,中国银河证券股份有限公司绍兴证券营业部,15543450,5276763,20820213,10266687,1371305835
98447,300295.SZ,2013/1/4,SELL,4,106001,涨幅偏离值达7%的证券,中国银河证券股份有限公司深圳宝安路证券营业部,0,5548622,5548622,-5548622,168894660
98509,300103.SZ,2013/1/4,SELL,4,106004,换手率达20%的证券,中国银河证券股份有限公司武汉花桥证券营业部,15206,2919966,2935172,-2904760,255676532
98429,300316.SZ,2013/1/4,SELL,3,106001,涨幅偏离值达7%的证券,中国银河证券股份有限公司宜昌新世纪证券营业部,108799,3198142,3306941,-3089343,208416523
98603,002239.SZ,2013/1/4,SELL,1,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,中国银河证券股份有限公司义乌稠州北路证券营业部,0,2949996,2949996,-2949996,23738968
98506,300103.SZ,2013/1/4,BUY,5,106004,换手率达20%的证券,中国银河证券股份有限公司重庆民族路证券营业部,3142603,0,3142603,3142603,255676532
98672,000862.SZ,2013/1/4,BUY,2,106001,涨幅偏离值达7%的证券,中国中投证券有限责任公司杭州环球中心证券营业部,4517015,0,4517015,4517015,40008521
98358,600722.SH,2013/1/4,SELL,5,106099,其它异常波动的证券,中国中投证券有限责任公司南通姚港路证券营业部,,2817675.32,,,62574696
98360,600722.SH,2013/1/4,SELL,4,106099,其它异常波动的证券,中国中投证券有限责任公司无锡清扬路证券营业部,,2938981.45,,,62574696
98578,002484.SZ,2013/1/4,BUY,3,106001,涨幅偏离值达7%的证券,中国中投证券有限责任公司无锡清扬路证券营业部,2594516,1187,2595703,2593329,100196276
98571,002492.SZ,2013/1/4,BUY,5,106001,涨幅偏离值达7%的证券,中国中投证券有限责任公司无锡清扬路证券营业部,3575000,0,3575000,3575000,145970121
98491,300111.SZ,2013/1/4,SELL,4,106001,涨幅偏离值达7%的证券,中航证券有限公司北京安立路证券营业部,0,3622974,3622974,-3622974,187027482
98351,600784.SH,2013/1/4,SELL,4,106001,涨幅偏离值达7%的证券,中航证券有限公司北京安立路证券营业部,,86640,,,3105964
98702,000677.SZ,2013/1/4,SELL,4,106010,连续三个交易日内涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,中航证券有限公司深圳春风路证券营业部,0,124450,124450,-124450,29825508
98395,600532.SH,2013/1/4,BUY,5,106001,涨幅偏离值达7%的证券,中山证券有限责任公司杭州杨公堤证券营业部,2563557,,,,92539704
