,trade_date,ts_code,exalter, buy , sell ,net_buy,side,reason
78,20130104,000862.SZ,首创证券有限责任公司上海水城路证券营业部," 901,600.00 "," 3,150.00 ",-898450,1,涨幅偏离值达7%的证券
342,20130104,600535.SH,天源证券有限公司盘锦泰山路证券营业部,," 13,192,339.60 ",13192339.6,0,跌幅偏离值达7%的证券
260,20130104,300262.SZ,万联证券有限责任公司广州滨江东路证券营业部," 2,194.00 "," 5,342,484.50 ",5340290.5,0,换手率达20%的证券
379,20130104,600882.SH,五矿证券有限公司杭州中山北路证券营业部,," 7,956,623.00 ",7956623,0,连续三个交易日内，涨幅偏离值累计达20%的证券
71,20130104,000862.SZ,五矿证券有限公司深圳金田路证券营业部," 5,044.00 "," 6,438,712.00 ",6433668,0,涨幅偏离值达7%的证券
100,20130104,002145.SZ,五矿证券有限公司深圳金田路证券营业部," 9,440,507.99 "," 43,810.00 ",-9396697.99,1,换手率达20%的证券
101,20130104,002145.SZ,五矿证券有限公司深圳金田路证券营业部," 9,440,507.99 "," 43,810.00 ",-9396697.99,1,涨幅偏离值达7%的证券
175,20130104,002492.SZ,五矿证券有限公司深圳金田路证券营业部, -   ," 10,925,234.50 ",10925234.5,0,涨幅偏离值达7%的证券
158,20130104,002460.SZ,西藏同信证券有限责任公司上海东方路证券营业部, -   ," 4,010,112.00 ",4010112,0,涨幅偏离值达7%的证券
268,20130104,300262.SZ,西藏同信证券有限责任公司上海东方路证券营业部," 8,332,804.81 "," 143,968.00 ",-8188836.81,1,换手率达20%的证券
299,20130104,300298.SZ,西南证券股份有限公司重庆万州高笋塘证券营业部, -   ," 4,506,745.12 ",4506745.12,0,涨幅偏离值达7%的证券
67,20130104,000799.SZ,湘财证券有限责任公司北京首体南路证券营业部," 47,298,199.18 "," 211,525.00 ",-47086674.18,1,换手率达20%的证券
349,20130104,600535.SH,湘财证券有限责任公司北京首体南路证券营业部," 44,418,713.50 ",,-44418713.5,1,跌幅偏离值达7%的证券
336,20130104,600532.SH,湘财证券有限责任公司上海金沙江路证券营业部,," 3,173,057.00 ",3173057,0,涨幅偏离值达7%的证券
157,20130104,002460.SZ,新时代证券有限责任公司深圳深南东路证券营业部," 2,585,964.55 ", -   ,-2585964.55,1,涨幅偏离值达7%的证券
183,20130104,002606.SZ,信达证券股份有限公司铁岭光荣街证券营业部," 11,796.00 "," 3,854,157.00 ",3842361,0,换手率达20%的证券
211,20130104,002700.SZ,兴业证券股份有限公司太原双塔寺街证券营业部, -   ," 3,047,469.07 ",3047469.07,0,换手率达20%的证券
229,20130104,002703.SZ,长城证券有限责任公司北京通胡大街证券营业部," 961,223.00 "," 3,306.00 ",-957917,1,换手率达20%的证券
76,20130104,000862.SZ,长城证券有限责任公司北京中关村大街证券营业部, -   ," 1,458,210.00 ",1458210,0,涨幅偏离值达7%的证券
279,20130104,300291.SZ,长城证券有限责任公司北京中关村大街证券营业部," 6,579.00 "," 4,437,744.60 ",4431165.6,0,涨幅偏离值达7%的证券
26,20130104,000156.SZ,长城证券有限责任公司杭州文华路证券营业部," 135,253.00 "," 5,327,096.00 ",5191843,0,换手率达20%的证券
27,20130104,000156.SZ,长城证券有限责任公司杭州文华路证券营业部," 135,253.00 "," 5,327,096.00 ",5191843,0,涨幅偏离值达7%的证券
77,20130104,000862.SZ,长城证券有限责任公司莆田荔城大道证券营业部, -   ," 1,351,756.00 ",1351756,0,涨幅偏离值达7%的证券
